2017, 60
2016, 31
2015, 29
2014, 34
2013, 34
2012, 44
2011, 52
2010, 48
2009, 39
2008, 39
2007, 29
2006, 43
2005, 41
2004, 37
2003, 36
2002, 42
2001, 34
2000, 23
